tract_name,total_requests,Non_RECYCLABLE_ITEMS,RECYCLABLE_ITEMS,HNS_HEALTH,CART_REPAIR,MISSED_RECYCLING
63.09,92,0,0,0,0,0
63.1,126,0,0,0,0,0
63.11,170,0,0,0,0,0
64.03,252,0,0,0,0,0
64.04,250,0,0,1,0,0
64.07,147,0,0,0,0,0
64.08,130,0,0,0,0,0
64.09,180,0,0,2,0,0
64.1,159,0,0,0,0,0
64.11,204,0,0,0,0,0
7,3111,1201,295,238,29,57
8,7600,3393,784,770,112,91
9,5732,2815,571,446,78,73
9801,81,0,0,4,0,1
9802,316,0,0,26,0,0
9803,218,0,0,8,0,4
